Country,Scale,Region,Mandatory policy,Marine Specific,marine included,Implicit_Explicit,Type, Focus,Name,Legislation,Year,Name of Legislation,Objective,Mechanism,Length,Stage,Confirmed,"
Goal",Source,Other/ Notes,
Kiribati,National,Pacific,Yes,No,Yes,Explicit,EIA,Biodiversity,,Legislation,1999,1999 Environmental Act, ,"""Environmental Impact Assessment (EIA)"" means the identification, analysis, avoidance and mitigation of environmental and social impacts arising from any proposed development under Part III and the evaluation of the cost effectiveness and environmental consequences of alternative options to the proposed development; ""mitigation"" includes -
(a) avoiding an impact by not taking a particular course of action as part of development;
(b) minimising an impact by limiting the scale of the action or changing the method of carrying out an action;
(c) rectifying an impact by repairing, rehabilitating, or restoring the affected environment;
(d) reducing or eliminating an impact over time by conservation and maintenance action regarding development activities; or
(e) compensating for the impact by replacing or providing substitutes for the resources or environment (; ",EIA but not offset,Potential,confirmed,,TBC 2016; Madsen et al. 2011; http://www.paclii.org/ki/legis/num_act/ea1999159/,,
Kyrgyzstan,Organisation,Asia,Yes,No,No,Neither,,,Mitigation for open pit gold mine,Legislation,, 2000 Law on Environmental Expert Review,,,,,,Not stated,"Flora Fauna International

 http://www.kumtor.kg/wp-content/uploads/2013/02/Kumtor_Biodiversity_Strategy_en.pdf","Of the independent Pacific Island countries, Federated States of Micronesia and Kiribati have policies which explicitly spell-out the required stages of avoidance, minimisation, restoration and compensation, and the Federated States of Micronesia also has State-level policies (TBC 2016).",
Liberia,National,Africa,Yes,No,Yes,Implicit,Offset,Biodiversity,Roadmap for Biodiversity offsets ,Legislation,2002,"No Liberian legislation specifically mentions ?offsets.? However, the Environment Protection and Management Law (2002) requires the application of the mitigation hierarchy as part of the Environmental and Social Impact Assessment (ESIA) process.",,,,In Progress,,NNL or NG,"http://www.biodiversityoffsets.net/a-national-biodiversity-offset-scheme-a-road-map-for-liberias-mining-sector-new-world-bank-report/

http://www.biodiversityoffsets.net/wp-content/uploads/2015/03/A-National-Biodiversity-Offset-Scheme-for-Liberia.pdf","Recently, Kumtor web-posted a document entitled ?Kumtor and Biodiversity?  which summarizes the results of the work to which Don and I contributed (see also here: Biodiversity Management Strategy & Plan for Gold Mine). It is the first such strategy and plan developed by a mining company in the Kyrgyz Republic.

The document highlights the regional biodiversity context, some of which gave rise to interesting ?political side shows? (Creating Paper Parks or Biodiversity Value in Kyrgyzstan? and Kyrgyz Prime Minister Babanov Visited Kumtor Mine ? and me too!), identifies Kumtor?s strategy and collaborative biodiversity enhancement opportunities, and signals next steps.

These steps will involve Fauna & Flora International (FFI), which has signed an MOU with Kumtor. FFI is the world?s longest established international conservation body operating in more than 40 countries worldwide. The Kyrgyz State Agency of Environmental Protection has recognized FFI?s activities by awarding it with Honorary Diplomas in recognition of its conservation initiatives and achievements in Kyrgyzstan (see here).",
Lithuania,European Union,Europe,Yes,No,Yes,Implicit,Compensation,Biodiversity,Natura 2000 (Marine),Legislation,2010,"*EU: In the Member States of the European Union, several Directives relevant to compensation are applicable, including the Birds and Habitats Directives, the European Liability Directive, and the EIA and SEA Directives.","EU legislation protects a wide variety of habitats and species. Compensation for damage occurring in Natura 2000 sites is a legal requirement of the EU Birds and Habitats Directives.

Although some working group participants suggest the NNL Initiative should be
restricted to the terrestrial and freshwater environment, others considered it
should also extend to coastal and marine environments. The Strategy and Staff
Working Paper are silent on this issue. Coastal habitats, like many freshwater or
high altitude habitats, are very dynamic and subject to rapid and large-scale
shifts in their physical characteristics (e.g. through coastal erosion, flooding,
rock-fall) with important consequences for biodiversity. This creates specific
challenges to assessing impacts and designing appropriate offsets. The marine
environment presents some additional challenges in applying the mitigation
hierarchy and compensating for residual impacts although there is growing
experience in this in Europe and worldwide, not least from impact assessments
done for marine Natura 2000 sites. 32 It remains debatable whether knowledge is
sufficient to apply compensation in the marine environment in a comprehensive
and systematic way but there is nonetheless considerable potential for offsetting
some types of impacts (e.g. of coastal defences, ports and navigation, energy
infrastructure) in the marine environment, while ensuring additional gains with
regard to existing legal obligations under the MSFD and the nature directives.
Whilst re-creation per se of sea-bed habitats is very difficult, restoration or ?functional re-creation? measures and averted risk offsets33 both offer opportunities in the marine environment. Similarly, although offsetting at the coast requires the resolution of different issues - not least reversibility questions associated with coastal erosion or with saline inundation34 - experience in coastal habitat restoration, creation and enhancement also continues to evolve. Further there may be opportunities to compensate for some marine activities by offsetting in the coastal environment.",,,In Progress,confirmed,NNL,"Tucker, Graham; Allen, Ben; Conway,
Mavourneen; Dickie, Ian; Hart, Kaley; Rayment, Matt; Schulp, Catharina; van Teeffelen,
Astrid (2013) Policy Options for an EU No Net Loss Initiative. Report to the European
Commission. Institute for European Environmental Policy, London.

http://ec.europa.eu/environment/nature/biodiversity/nnl/pdf/Subgroup_NNL_Scope_Objectives.pdf

http://www.ceeweb.org/wp-content/uploads/2012/02/Kretuonas_Lithuania.pdf","Liberia is taking the progressive step of legally requiring mining companies to implement
biodiversity offsets1 to address the residual impacts of their activities on biodiversity after
the application of the mitigation hierarchy.2 This step includes current provisions contained
in some Mineral Development Agreements and the draft Mining Act (2014),3 which requires
compliance with the International Finance Corporation?s (IFC?s) Performance Standards.
However, this approach could result in a number of small ad hoc offsets that do not
necessarily respond to conservation priorities in Liberia and lack the necessary protection
to ensure their long-term sustainability. In addition, the capacity of resource developers to
effectively implement offsets is limited and constrained by numerous external factors. ",
Luxembourg (land-locked),European Union,Europe,Yes,No,No,Neither,Compensation,,No marine natura sites,Legislation,,"*EU: In the Member States of the European Union, several Directives relevant to compensation are applicable, including the Birds and Habitats Directives, the European Liability Directive, and the EIA and SEA Directives.","EU legislation protects a wide variety of habitats and species. Compensation for damage occurring in Natura 2000 sites is a legal requirement of the EU Birds and Habitats Directives.

Although some working group participants suggest the NNL Initiative should be
restricted to the terrestrial and freshwater environment, others considered it
should also extend to coastal and marine environments. The Strategy and Staff
Working Paper are silent on this issue. Coastal habitats, like many freshwater or
high altitude habitats, are very dynamic and subject to rapid and large-scale
shifts in their physical characteristics (e.g. through coastal erosion, flooding,
rock-fall) with important consequences for biodiversity. This creates specific
challenges to assessing impacts and designing appropriate offsets. The marine
environment presents some additional challenges in applying the mitigation
hierarchy and compensating for residual impacts although there is growing
experience in this in Europe and worldwide, not least from impact assessments
done for marine Natura 2000 sites. 32 It remains debatable whether knowledge is
sufficient to apply compensation in the marine environment in a comprehensive
and systematic way but there is nonetheless considerable potential for offsetting
some types of impacts (e.g. of coastal defences, ports and navigation, energy
infrastructure) in the marine environment, while ensuring additional gains with
regard to existing legal obligations under the MSFD and the nature directives.
Whilst re-creation per se of sea-bed habitats is very difficult, restoration or ?functional re-creation? measures and averted risk offsets33 both offer opportunities in the marine environment. Similarly, although offsetting at the coast requires the resolution of different issues - not least reversibility questions associated with coastal erosion or with saline inundation34 - experience in coastal habitat restoration, creation and enhancement also continues to evolve. Further there may be opportunities to compensate for some marine activities by offsetting in the coastal environment.",,,Not yet implemented fully,,NNL,"Tucker, Graham; Allen, Ben; Conway,
Mavourneen; Dickie, Ian; Hart, Kaley; Rayment, Matt; Schulp, Catharina; van Teeffelen,
Astrid (2013) Policy Options for an EU No Net Loss Initiative. Report to the European
Commission. Institute for European Environmental Policy, London.

http://ec.europa.eu/environment/nature/biodiversity/nnl/pdf/Subgroup_NNL_Scope_Objectives.pdf",,
Madagascar,Organisation,Africa,Yes,No,Yes,Explicit,Offset,Biodiversity,"Rio Tinto QMM Net Positive Impact (NPI)

Others include COMBO project Africa",Voluntary,2008,Net positive impact,,,,Established,confirmed,Net Positive Impact (NPI),"IUCN 2013, Rio
Tinto?s QMM Ilmenite mine in Madagascar (Temple 2012); http://thebiodiversityconsultancy.com/wp-content/uploads/2013/06/Leaflet-IUCN-Rio-Tinto-NPI-Case-Study_Madagascar.pdf

Darbi et al. 2016; combo-africa.org/madagascar",,
Madagascar,National,Africa,Yes,No,Yes,Explicit ,Mitigation ,Wetland,Malagasy Environment Charter,Legislation,1999/2004,"The most important legal references for biodiversity compensation issues are the Malagasy Environmental Charter (Loi no. 90-033 du 21 d‚cembre 1990, portant Charte de l'Environnement malagasy)
and the Decree MECIE (Mise en Compatibilit‚ des Investissements avec l'Environnement) stipulating
the obligation to carry out an EIA for public and private investment projects (Office National
pour l?Environnement n.d.d: 5; MinistŠre de l?Environnement; Office National pour l?Environnement 2000: (Darbi et al. 2009)

Madagascar is also reported to be in the phase of 'developing' an offset policy. (GiBop 2018)"," A policy of net gain is promoted (?leaving better conditions than existed before the project began?), with the aim of replacing the historical approach of mining and hydrocarbon industries, when the implementation of mitigation policies meant restoring conditions to the state prior to the impact once a project had been completed (Darbi et al .2009 -Projet de Gouvernance des Ressources Minerales de
Madagascar n.d.a: 2).

In Madagascar general and specific mitigation and compensation measures are defined in the EIA guidelines.

The Environmental Action Plan introduced a number of methodological tools, among which the Environmental Impact Study (Etude d?Impact Environnemental, EIE) is considered to be the most de-
veloped tool in Madagascar, with more than hundred studies carried out for different public and private
projects (Ministere de l?Environnement, des Eaux et Forets n.d.: 17) (Darbi et al. 2009).
","Identification and assessment of environmental impacts: One of the objectives of the EIE is to identify the effects of a project so that adjustments can be made to limit adverse impacts (Office National pour l?Environnement n.d.a: 29). An environmental planning process has to be integrated into the overall project design, with the goal of minimising adverse environmental effects from the outset, while taking into consideration:
The protection of sensitive zones and those that are rich of biodiversity,
The minimisation of ecosystem and biological diversity deterioration and
The goal of achieving a placement solution, generating socio-economic benefits for the population (i.e. to assure the best social integration of the project) (Office National pour l?Environnement n.d.a: 29; MinistŠre de l?Environnement; Office National pour l?Environnement 2000: 18). According to the General EIA Directive the analysis of impacts has to consider the following: Identification and assessment of the probable environmental impacts related to the project,
Identification of measures to mitigate or prevent negative impacts on the environment, That the impact assessment implies a value judgement based on the valuation of the environmental components and the norms in force,
Security measures and The implementation of a programme for monitoring and follow-up during the different stages of the project and environmental management plan (MinistŠre de l?Environnement; Office National pour
l?Environnement 2000: 23f, 27)

The EIA Directive requires the prediction and identification of potential impacts, as well as the analysis and evaluation of the scale, importance and significance of the key effects. The scope of the studies depends on the gravity of the impacts, the vulnerability of the components of the environment that require protection, the nature and complexity of the project and available information relating to the site (MinistŠre de l?Environnement; Office National pour l?Environnement 2000: 12f). As the impact evaluation builds on a value judgement, the Directive notes that the evaluation criteria may be determined using a participatory approach and take into consideration the opinion of concerned parties
(MinistŠre de l?Environnement; Office National pour l?Environnement 2000: 24) (Darbi et al. 2009). 

An example is EIA in Mada-
gascar, where mitigation and compensation measures are presented together in the Project Environ-
mental Management Plan and include measures to (a) preserve important components of the biologi-
cal environment, (b) design and implement measures to minimise environmental impacts during con-
struction and operation, and (c) restore the site and to compensate for residual impacts. During project
implementation, environmental monitoring and follow up are used to assess the implementation of
protection and mitigation or compensation measures and to establish new mitigation or restoration
measures if necessary. The residual impacts that remain following the application of mitigation meas-
ures have to be defined and are then the subject of an environmental monitoring programme (see
Figure 45). After the evaluation and the analysis of the result, impacts are classified, which may lead to a distinction between:
Positive and negative,
Direct and indirect, and
Cumulative impacts (MinistŠre de l?Environnement; Office National pour l?Environnement 2000:
25). (Darbi et al)",,Preliminary,confirmed,,Darbi et al. 2009; Darbi et al. 2016; TenKate and Crow 2014; ,"(Table 13: Components of the biological environment according to the General EIA Guidelines: Types of existing ecosystems: terrestrial,
aquatic, marine and coastal, wetlands)(Darbbi et al. 2009).",
Malaysia (Sabah),Organisation,Pacific,Yes,No,No,Neither,Offset,,The GEF ecoproducts fund,,,NNL policy has been discussed in Sabah and is a principle for a GEF project there.,,,,,Confirmed,,speciesbanking.com,"Table 16: Indicative list of mitigation and compensation measures for tourism projects - Identification and protection of characteristic and vulnerable ecosystems (wetlands and watercourses, coral reefs, mangroves and other marine ecosystems, feeding, reproduction and migration zones of the fauna)(Source: extract from MinistŠre de l?Environnement; Office National pour l? - ... Moreover, various industries (e.g. forestry and fisheries) are progressively adopting internationally recognised certification systems aimed at ensuring that their products are harvested sustainably and cause no harm to local people or the environment (PGRM Projet de Gouvernance des Ressources Minerales de Madagascar n.d.:Environnement n.d.: 39ff in Darbi et al).

legislation confirmed, offset action unconfirmed - Also classed in this category are existing and planned regulations that specifically address biodiversity
offsets. For instance, although Madagascar has EIA regulations that could (but currently do not)
address biodiversity offsets, the country aims to develop a biodiversity offset policy for mining
and logging companies (Donswald et al. 2012) - Darbi et al. 2016 - offset projects being 'trialed' 

In Madagascar general and specific mitigation and compensation measures are defined
in the EIA guidelines. Furthermore, biodiversity offsets are being piloted in the mining
sector. (1) The mining sector has a significant position, given that the Madagascar
Action Plan (MAP) includes the goal of promoting biodiversity compensation
mechanisms for this sector (3). Furthermore the whole sector has undergone an EIA in
2003 (2). The mining sector also developed Good Governance and Asset Management
Principles to improve environmental performance and management of national assets
(3).
A policy of net gain is promoted (?leaving better conditions than existed before the
project began?), with the aim of replacing the historical approach of mining and
hydrocarbon industries, when the implementation of mitigation policies meant
restoring conditions to the state prior to the impact once a project had been completed
(3).
The mitigation of impacts (usually the term ?att‚nuation? is applied, only in some cases
is ?mitigation? used) consists of actions or measures to prevent, avoid or reduce
negative impacts or to increase benefits for the environment (4). Adequate mitigation
and / or compensation measures have to be determined for each stage of activity,
source of impacts, action or activity that has a negative influence on one or several
components of the environment (4, 5). This implies the development of strategies to
reduce adverse impacts and to consider (and / or choose) alternatives if these are less
harmful to the environment (4). Darbi et al. 2016

Madagascar, with high levels of endemism and biodiversity, has a long history of efforts to conserve its unique biomes. EIA regulations play an important role in Madagascar, providing guidelines for major projects and requiring the hierarchy of avoidance, minimization, and restoration, although there is no law requiring offsets for residual impacts to biodiversity. Although there is no national offset program, some voluntary projects have taken place, laying the groundwork for a future program. Two mining companies, Ambatovy and Rio Tinto, are currently creating biodiversity offsets for their projects on a voluntary basis in Madagascar (Ecosystem marketplace).",
Malta,European Union,Europe,Yes,No,Yes,Implicit,Compensation,Biodiversity,Natura 2000 (Marine),Legislation,2010,"*EU: In the Member States of the European Union, several Directives relevant to compensation are applicable, including the Birds and Habitats Directives, the European Liability Directive, and the EIA and SEA Directives.","EU legislation protects a wide variety of habitats and species. Compensation for damage occurring in Natura 2000 sites is a legal requirement of the EU Birds and Habitats Directives.

Although some working group participants suggest the NNL Initiative should be
restricted to the terrestrial and freshwater environment, others considered it
should also extend to coastal and marine environments. The Strategy and Staff
Working Paper are silent on this issue. Coastal habitats, like many freshwater or
high altitude habitats, are very dynamic and subject to rapid and large-scale
shifts in their physical characteristics (e.g. through coastal erosion, flooding,
rock-fall) with important consequences for biodiversity. This creates specific
challenges to assessing impacts and designing appropriate offsets. The marine
environment presents some additional challenges in applying the mitigation
hierarchy and compensating for residual impacts although there is growing
experience in this in Europe and worldwide, not least from impact assessments
done for marine Natura 2000 sites. 32 It remains debatable whether knowledge is
sufficient to apply compensation in the marine environment in a comprehensive
and systematic way but there is nonetheless considerable potential for offsetting
some types of impacts (e.g. of coastal defences, ports and navigation, energy
infrastructure) in the marine environment, while ensuring additional gains with
regard to existing legal obligations under the MSFD and the nature directives.
Whilst re-creation per se of sea-bed habitats is very difficult, restoration or ?functional re-creation? measures and averted risk offsets33 both offer opportunities in the marine environment. Similarly, although offsetting at the coast requires the resolution of different issues - not least reversibility questions associated with coastal erosion or with saline inundation34 - experience in coastal habitat restoration, creation and enhancement also continues to evolve. Further there may be opportunities to compensate for some marine activities by offsetting in the coastal environment.",,,In Progress,confirmed,NNL,"Tucker, Graham; Allen, Ben; Conway,
Mavourneen; Dickie, Ian; Hart, Kaley; Rayment, Matt; Schulp, Catharina; van Teeffelen,
Astrid (2013) Policy Options for an EU No Net Loss Initiative. Report to the European
Commission. Institute for European Environmental Policy, London.

http://ec.europa.eu/environment/nature/biodiversity/nnl/pdf/Subgroup_NNL_Scope_Objectives.pdf","Malua BioBank (Sabah)

In 2008, the government of Sabah, Malaysia teamed up with the Eco Products Fund, a private equity investment vehicle jointly managed by New Forests Inc. and Equator Environmental, LLC, to invest up to US $10 million in the restoration and maintenance of 34,000 hectares of rainforest in a project called the Malua BioBank. The project sells ""biodiversity conservation certificates for the biodiversity benefits of 100 square meter plots of restoration as well as for the maintenance of habitat for at least 50 years. The project is unique for enabling the long-term (and potentially permanent) protection of biodiversity via a voluntary purchase. Additionally, the project provides transparency through a third party registry. Early buyers have included businesses and non-profits from a range of industries, such as tourism, timber, and palm oil. The Malua BioBank is offering to link the conservation credits to companies' specific products or supply chains, and the BioBank is also starting to develop biodiversity offset products where a company is seeking to quantify offset measurable conservation impacts.",
Mexico,National,North America,Yes,No ,Yes,Implicit,Offset (Compensation),Biodiversity,"EIA, Administration Programme of Environmental Justice",Legislation,1988,"General Law of Ecological Equilibrium and Protection of the Environment (Ley General de Equilibrio Ecol¢gico y Protecci¢n al Ambiente, LGEEPA)

Biodiversity Code (C¢digo para la Biodiversidad del Estado de M‚xico)

Villaroya et al., 2014 (complete extracts are in the Mexico-Notes file in Gdrive)?

 General Law on Sustainable Forestry (2003) ? Sets the obligation of making offset payments for land-use change of forest areas
Environmental Liability Act (2013) ? also requires offsets but only when impacts are not predicted or approved in the EIA and are deemed an environmental offence,

? Regulation of the General Law on Sustainable Forestry (2005) ? Sets the basis for regulating offset payments for land-use change of forest areas

? Agreement on Offsets Equivalency (2005) ? Sets the method for calculating the required offsets area

? Agreement on offsets costs ? Sets the reference costs for calculating the required offset payments

? The General Law on Ecological Balance and Environmental Protection of 1988 (LGEEPA) + The Official Mexican Rule NOM-120-SEMARNAT-2011 (for mining projects) ? enable the use of offsets but do not make any specific requirements or guidance for when or how they should be used.

? Mexico ? Specifically mention the Complete Mitigation Hierarchy (GIBOP 2018)","The general law on ecological balance and environmental protection of 1988 (most commonly known as the LGEEPA) also enables the use of offsets as does the Official Mexican Rule NOM-120-SEMARNAT-2011 which makes some provisions for offsets related to mining projects. Neither of these two laws can be considered a specific offset framework since they only enable the
use of offsets but do not make any specific requirements or guidance for when or how they should be used (Villaroya et al. 2014).","establishes the need for Environmental Impact Assessment (EIA), and the Secretary of Environment and Natural Resources (Secretar¡a de Medio Ambiente y Recursos Naturales, SEMARNAT) implements this law and determines if an EIA is required for any given development project. If an EIA is required, an Environmental Management Plan (EMP) is issued, consisting of separate mitigation, compensation and follow-up measures for development activities, and distinguishing on-site and off-site actions. The current system allow a choice of creating an offset (eg PEMEX Jaguaroundi project) or paying into compensation fund managed by the National Forestry Commission (Comisi¢n Nacional Forestal, CONAFOR) at a raio of greater than 1:1 (Conafor sets the ratio and completes reforestation activities).

The General Act on Ecological Equilibrium and Environmental Protection (LGEEPA), which
regulates the principles of the constitution in relation to environmental matters, includes the legal definitions of these ANPs, classifying them into six different categories: biosphere reserves, national  International Approaches to compensation for Impacts on Biological Diversity Final Report, February 2009 115 parks, marine national parks, areas for the protection of flora and fauna, special biosphere reserves, and natural monuments (Nadal 2001: 4). The system of natural protected areas is complemented by natural protected ecosystems under the UMA Pilot Programme9 that aims to integrate the ecosystem
approach of the CBD with the political system in the context of conservation and sustainable use of biodiversity (CBD 2006: 9).(Darbi et al.2009).

In contrast to other Latin American countries, Mexico has well developed environmental politics. Instruments for avoidance, minimisation and compensation are modelled on the US example. On-site measures (rehabilitation) and off-site  International Approaches to compensation for Impacts on 
38 measures (measures of equal value) are distinguished under Mexican EIAs. At the national level, the Administration Programme for Environmental Justice identifies the most important regions, which are those affected by adverse impacts arising from the activities of different sectors, and requires restoration, rehabilitation and / or compensation as appropriate (Darbi et al.2009

 Art. 2.60 of the Biodiversity Code, concerns environmental politics and its instruments and establishes a number of criteria. Firstly, the preservation and conservation of the ecological balance and the internalisation of costs are indispensable to the conservation of the environment, biodiversity and natural  International Approaches to compensation for Impacts on Biological Diversity Final Report, February 2009 114 resources. Secondly, the restoration, remediation, recovery and rehabilitation of the ecological balance are essential in order to face climate-related challenges and to stop desertification, erosion and salinisation
of soils as well as the disappearance of flora and fauna (Estado de Mexico 2005: 45f).
Furthermore, Art. 2.82 introduces the obligation for all stakeholders, including state and municipal authorities, the social sector and private organisations, communities and any individual, to act in a way that preserves, conserves, remediates, rehabilitates, recovers, restores and protects natural protected areas, biological diversity and its ecosystems (Estado de Mexico 2005: 52). (Darbi et al. 2009).

Cumulative/Indirect Impacts and Impact Significance: Several countries make provisions for evaluating strategic development plans under their general EIA regulations (Chile, Decree 40 of 2013; Peru, Supreme Decree 019-2009-MINAM; Mexico, LGEEPA of 1988; Venezuela, Decree 1257 of 1996). (Villaroya et al. 2014). ",,In Progress,confirmed,,"M. Darbi et al., International Approaches to
Compensation for Impacts on Biological Diversity.
Final Report, Dresden and Berlin, March 2009,
available at http://www.forest-trends.org/
publication_details.php?publicationID=522",,"With reference to the components of biological diversity, reference is made to the definition of the
CBD. Consequently, the Mexican National Biodiversity Strategy defines biodiversity as the degree
of variation between living organisms and ecologic complexes, which is expressed at different levels:
from the heterogeneity of chemical structures and genes to ecosystem variety (CONABIO 2000: 13). "
Mexico,National,North America,Yes,No,No,Neither,Offset,,"Program for Environmental Restoration and Compensation, Programa de
Restauraci¢n y Compensaci¢n Ambiental)",Legislation,,Environmental Liability Act 2013,"aims to compensate for regulation violations
and accidents through the planned restoration
or recovery of ecosystems and natural resources
on site, and then if that is not possible, avoiding
or mitigating damage elsewhere (Madsen et al, Darbi et al. 2009); requires offsets, but only when impacts are not predicted or approved in the EIA and are deemed an environmental offense (Villaroya 2014)","damages to biodiversity due to accidents or regulation violations. Compensation paid either in kind or in cash, is overseenAn agreement between Federal Environmental Attorney (Procuradur¡a Federal de Protecci¢n Ambiental, PROFEPA) and the National Commission for the Knowledge and Use of Biodiversity (Comision Nacional para el Conocimiento y Uso de la Biodiversidad, CONABIO)",,implemented,,,"(Madsen et al, Darbi et al. 2009), ten kate et al. 2004; ",,
Mexico,National,North America,Yes,No,No,Neither,Offset,,Sustainable forest development,Legislation,,Sustainable Forest Development Act of 2003,requires offsets for impacts that result in land-use change to forested areas.,"In Mexico offsets are always required for land-use change in
forest areas (Ley General de Desarrollo Forestal Sustentable 2003).
The agent responsible for offset implementation is the National
Forest Commission (CONAFOR by its Spanish acronym)
(Reglamento de la Ley General de Desarrollo Forestal Sustentable
2005), which decides the allocation of offset funds in projects
implemented by different entities (agrarian communities, land
owners, public administrations, research and education institutions
and NGOs among others). payment to the Mexican Forest Fund is the only tool enabled for developers to comply with the legal requirements regarding offsets (Ley General de Desarrollo Forestal Sustentable 2003). In 2013, approximately US$ 30 million have been allocated in
reforestation projects related to this offset scheme [37] (Villaroya et al 2014).","Duration of the project's
operation, i.e. from 15 to 50
years maximum (Morandeau and Villaysack)",implemented,,,Villarroya et al. 2014; Morandeau and Villaysack 2012;,,
Morocco,National,Africa,Yes,No,No,Neither,EIA,,Forests,,,,,,,Potential,unconfirmed,,Darbi et al. 2009; Morandeau and Vilaysack 2012; http://www.ecosystemmarketplace.com/marketwatch/biodiversity/africa/,,
Mozambique,National,Africa,Yes,No,Yes,Explicit,Offset,Biodiversity,Biodiversity roadmaps,Legislation,1997,Environmental Law (Law 20/1997),"This Roadmap seeks to provide a workable framework for appropriate biodiversity
offsets in Mozambique, despite existing constraints of data deficiency, institutional immaturity, and underdeveloped human capacity. The Roadmap and its recommendations must be viewed from this perspective. Industrial development will not wait for perfect biological knowledge to be obtained first. Even with constraints, No Net Loss is a valuable goal to aim for and a useful tool for helping the national Government to achieve its biodiversity objectives.

The Environmental Law is the overarching legal framework for environmental matters in Mozambique. Particularly relevant here for NNL is article 4, which discusses the general principles, specifically Principle 7 (the principle of Responsibility), on the basis of which 'whoever pollutes or in any way degrades the environment shall always have the obligation to repair or compensate for the resulting damage.' While no regulations are in place to implement this provision as of yet, this is an important starting point. Article 15 of the same law decrees that the issuance of an Environmental License precedes the issuance of any other commercial license. Since the license itself is only granted after the completion of an environmental and social assessment process, this is very strong protection for the environment and opens the space for inserting offset design into the process (World Bank 2016).

Environmental Impact Assessment Legislation. The current regulations for environmental and social impact assessment are predominantly contained in Decree 24/2004, although some sectors such as mining (Decree 26/2004) and petroleum (Decree 56/2010) have their own specific decrees with additional details. (World Bank 2016).","According to these legal instruments, the Mozambican environmental and social assessment process is supposed to: 

A. Analyse the project
B. Classify it, based on expected impacts, into one of three categories, with different levels of environmental impact assessment rigor required for each;
C. Identify all environmental impacts (quantitatively or at least qualitatively);
D. Require the propoent to develop mitigation masures (following the mitigation hierarchy);
E. Require the preparation of an Environmental Management Plan; and
F. Require a compensation Plan (but usually only for social impacts) (World bank 2016).

Once the applicable environmental documents are approved, the corresponding plan then became part of the project's speficif legal framework, and compliance with the applicable conditions becomes a binding requirement on the project developer. From a biodiversity offsets point of view, this means that if an Environmental Management Plan stipulates that an offset will be carried out, then this becomes mandatory for the development, even if the project is sold to another company.

The specific environmental regulations for the petroleum sector (Decree 56/2010) require the relevant Environmental Impact Assessment (EIA) to include the possibility of rehabilitation and compensation of negative environmental effects. as well as requiring that the cumulative impacts be taken into account. Although Moazambican EIAs have thus far mostly not complied with this requirement - partly due to lack of clear guidance on the acceptable mechanisms for doing so-biodiversity offsets are clearly an available tool to realize this obligation (World Bank 2016).",,In Progress,confirmed,NNL,World Bank Report.2016.  Biodiversity offsets in Mozambique - A Roadmap for implementation," In Egypt and several other countries like Morocco and Senegal the focus is the EIA system (Darbi et al. 2009). 

In most countries, sector-specific laws have been introduced to preserve biodiversity components that present particular challenges, such as wetlands (Canada, Russia and the United States), forest (Brazil, India, the Netherlands, Morocco and Russia) (Morandeau and Vilaysack 2012).

Regulatory drivers for biodiversity compensation are still in development across much of Africa. A number of countries ? Egypt, Morocco, Uganda, South Africa, Rwanda, and Madagascar ? have Environmental Impact Assessment (EIA) regulations, sectoral guidelines, or other policies in place providing a legal framework for compensation, though the mitigation hierarchy is typically not fully implemented or clearly defined (ecosystem marketplace).",
